18位,18Bit,18bit,X
745,745 Interest,int745,X
745项下,745 Interest,int745,X
790,790 Interest,int790,X
790项下,790 Interest,int790,X
Free,free,X,
INTERNET,Internet,inn,X
Recommendation,recmm,X,
SWIFT,Swift,swift,X
X轴,COLX,COLX,X
Y轴,COLY,COLY,X
osf,Outstanding File,osf,X
一,One,one,X
一年,OneYear,oy,X
一户多贷,One To Many,onemny,X
一本通,YI BEN TONG,YBT,X
一级,First Level,fstlv,X
一般,normal,nrl,X
一逾两呆,Bad Loan Source,bls,X
三季度,ThreeQuarter,thrqtr,X
三年,Three Years,thryr,X
三月,Three Month,thrmon,X
三级,Third Level,thdlv,X
三贷,Gry,GRY,X
上,Last,lst,X
上一,Last,lst,X
上上层,Upper,upper,X
上会,Meeting,metg,X
上传,Upload,upld,X
上层,Superstratum,supstr,X
上市,Come Into Market,cmitmrkt,X
上年末,Last Year,lst_year,X
上报,Report,rprt,X
上期,LastTerm,lst_term,X
上次,Last Time,lst_time,X
上班,On Duty,ondty,X
上级,Superior,sprr,X
上级行之上级行,Top Bank,top_bnk,X
上缴,handin,hi,X
上限,Upper Limit,uprlmt,X
下,Next,next,X
下传,Download,dld,X
下次,Next Time,nxttm,X
下浮,fall,fall,X
下班,Off Duty,ofdty,X
下载,Download,dwld,X
下迁,Fall,fall,X
下限,Lower Limit,lwrlmt,X
不,Non,non,X
不利,Disadvantage,disadg,X
不合格,Disqualification,dqlf,X
不安全,Unsafe,unsafe,X
不良,Problem Loans,pbmln,X
与,With,with,X
专业,Professional,prof,X
专家,Expert,expert,X
专管,Special Management,splecmag,X
专职,Full Time,fultm,X
专项,Special Item,specitm,X
世界500强,World500,world500,X
业务,Business,bsn,X
东,East,east,X
严重,Serious,serious,X
个人,Individual,idv,X
个别,Individual,idvd,X
个数,Number,nbr,X
中,Middle,mdl,X
中专,Technical Secondary School,techscdscl,X
中介,Agency,agc,X
中值,MiddleValue,mdlvl,X
中央,Central,cent,X
中小企业,SME,SME,X
中心,center,cent,X
中文,Chinese,cn,X
中级,Intermediate,intmdt,X
中行,Bank Of China,boc,X
中银,boc,boc,X
中银统,Bocstatistc,bocstat,X
中间,Middle,mdl,X
中间业务,Internal Bussiness Services,ibs,X
中间价,Middle Rate,mrate,X
临时,Temp,tmp,X
临界,Critical,crit,X
为他人,For Others,oths,X
主,Main,main,X
主任,Director,dirt,X
主办,Charge,chrg,X
主动,Auto,auto,X
主导,Main,main,X
主控方,Master,master,X
主文件,Main File,mfile,X
主档,Main File,mfile,X
主次,Primary and Secondary,prim_sec,X
主管,Charge,chrg,X
主营,Main,main,X
主要,Main,main,X
主观,Subjective,subj,X
主键,Key,key,X
乘,Multiply,multiply,X
乘方,Power,power,X
九,Nine,nine,X
买卖,Buy,buy,X
争取,Try,try,X
争议,dispute,dspt,X
事,Event,event,X
事业,cause,cs,X
事件,Event,event,X
事务所,Office,office,X
事宜,Matters,mats,X
事实,Fact,fact,X
事项,Item,item,X
二级,Second Level,scdlv,X
亏损,Loss,los,X
五级,Level 5,lvl5,X
交叉,Cross,cross,X
交换,Commutative,cmt,X
交易,Tracsaction,txn,X
交通,Traffic,trff,X
交通工具,Vehicle,vehl,X
产品,Product,pd,X
产权,Property Right,ptyrt,X
产生,Create,crt,X
人,Er,er,X
人口,Population,PPN,X
人员,Personel,psnl,X
人均,Per Person,perper,X
人工,manmade,md,X
人数,Person Number,prsnmbr,X
人数比,membersDiv,memDiv,X
人民币,Rmb,rmb,X
人民银行,People Bank Of China,PBC,X
人行,People Bank Of China,PBC,X
从业,Working,work,X
他行,Other Bank,oth_bnk,X
付息,Pay Interest,payint,X
付息日,Interest Date,intdt,X
付款,Pay,pay,X
付费,pay,pay,X
代,Agent,agnt,X
代付,Paying,paying,X
代办,Agent,agnt,X
代理,Agent,agent,X
代理键,Surrogate Key,sur_key,X
代码,Code,code,X
代表,Representation,rprs,X
令牌,Token Ring,tkrg,X
以上,Upper,upper,X
以下,Down,down,X
